,bitfinex_MTS,bitfinex_OPEN,bitfinex_CLOSE,bitfinex_HIGH,bitfinex_LOW,bitfinex_VOLUME
48,2020/04/28 0:00,7777.7,7739,7777.7,7730.2,132.4023183
49,2020/04/27 23:00,7768,7777.603392,7777.7,7749,155.4569592
50,2020/04/27 22:00,7735,7767.147976,7771.9,7720.2,152.0348513
51,2020/04/27 21:00,7699.3,7734.9,7765.7,7699.2,241.3261966
52,2020/04/27 20:00,7702.3,7699.2,7708.8,7685.711409,53.45886872
53,2020/04/27 19:00,7709.6,7702.3,7730,7694.2,371.9449216
54,2020/04/27 18:00,7657.5,7709.6,7713.3,7655.5,159.2647954
55,2020/04/27 17:00,7661.5,7658,7667.7,7641.8,130.2354364
56,2020/04/27 16:00,7672.3,7661.3,7681.754484,7642.396124,325.9839597
57,2020/04/27 15:00,7665.4,7672.3,7688,7655.204779,185.3781006
58,2020/04/27 14:00,7687.9,7665.3,7688.9,7621.5,434.5882551
59,2020/04/27 13:00,7691.3,7687.9,7701.6,7613.4,475.9906311
60,2020/04/27 12:00,7716.4,7691.2,7720,7683.6,122.7842468
61,2020/04/27 11:00,7695.2,7714.2,7718,7690.4,157.0147982
62,2020/04/27 10:00,7699,7695.9,7708,7656.9,187.193892
63,2020/04/27 9:00,7699.9,7698.7,7720,7674.9,229.7732542
64,2020/04/27 8:00,7695,7699.1,7736.2,7685.961728,213.2484327
65,2020/04/27 7:00,7661,7694.9,7695,7640,124.2672178
66,2020/04/27 6:00,7699.7,7661.016014,7712,7650,166.4807642
67,2020/04/27 5:00,7728.035448,7699.9,7745.7,7690,98.68040132
68,2020/04/27 4:00,7731.278144,7728.035448,7731.3,7705,59.77504764
69,2020/04/27 3:00,7728.4,7731.278144,7749.4,7715.8,156.764571
70,2020/04/27 2:00,7688.251478,7728.4,7732,7682.3,155.3860254
71,2020/04/27 1:00,7736.750164,7691.5,7771.5,7632.6,969.3291645
72,2020/04/27 0:00,7697.9,7737.3,7756,7697.9,1569.965975
73,2020/04/26 23:00,7613.9,7697.9,7697.9,7613.244817,326.5367558
74,2020/04/26 22:00,7627.5,7613.9,7637,7578.7,180.3431642
75,2020/04/26 21:00,7642.3,7624.4,7652.1,7611,93.94602332
76,2020/04/26 20:00,7649.9,7641.6,7651.3,7631.086244,113.5232312
77,2020/04/26 19:00,7621.5,7650,7650,7609.6,58.31969387
78,2020/04/26 18:00,7585.6,7621.6,7630,7568,198.9217012
79,2020/04/26 17:00,7570.1,7585.5,7589.8,7555.3,241.6493331
80,2020/04/26 16:00,7550,7570.1,7585,7533.337938,148.3177141
81,2020/04/26 15:00,7643.8,7550,7643.8,7473.5,958.5706737
82,2020/04/26 14:00,7681.903356,7643.815208,7693.1,7630.1,193.4518211
83,2020/04/26 13:00,7650.091109,7681.9,7697.8,7619.2,461.996201
84,2020/04/26 12:00,7659,7650.091109,7665.7,7627.7,267.0147806
85,2020/04/26 11:00,7648,7659,7675.7,7624.3,634.9313674
86,2020/04/26 10:00,7584.5,7648,7669,7575,596.6454841
87,2020/04/26 9:00,7546.1,7584.6,7590,7540,372.8037335
88,2020/04/26 8:00,7545.6,7546.7,7553.5,7529.7,82.24325031
89,2020/04/26 7:00,7548.59485,7546.2,7558.1,7536.6,26.28873753
90,2020/04/26 6:00,7532.688708,7548.703055,7549.8,7532.580503,40.56967067
91,2020/04/26 5:00,7549.3,7532.7,7549.3,7532.7,41.58944781
92,2020/04/26 4:00,7562.6,7549.4,7562.6,7538.6,65.15467278
